,A,CHAMPID,CHAMPID_Role,D,DATE,Index,K,KDA,PATCH,PLAYRATE,RANK,ROLE,Unnamed: 0,WINRATE,indexval,unique
0,13.986624337536256,412,412DUO_SUPPORT,5.091753102922338,2017-07-09,,2.0050255131550196,3.140696244975645,7.13,0.2379075138774032,12.392156201724662,DUO_SUPPORT,,0.5207596964984212,DUO_SUPPORT4122017-07-09,
0,8.24706319150516,64,64JUNGLE,5.63379124279102,2017-07-09,,5.894596668399297,2.510149781996285,7.13,0.20589826159576036,12.671622877869005,JUNGLE,,0.4719932674933789,JUNGLE642017-07-09,
0,7.126256474351505,51,51DUO_CARRY,5.285623497261971,2017-07-09,,6.099315757697726,2.502178265042954,7.13,0.1924611843817463,16.880862460132516,DUO_CARRY,,0.5276186037643918,DUO_CARRY512017-07-09,
0,8.33607361361435,202,202DUO_CARRY,4.958613798261424,2017-07-09,,6.6329311803435465,3.0187881942341,7.13,0.166265865835121,13.001817387787797,DUO_CARRY,,0.5004107355231054,DUO_CARRY2022017-07-09,
0,6.868702686655782,236,236DUO_CARRY,5.203770224135372,2017-07-09,,6.570936618673,2.582673470668439,7.13,0.13733685684717087,10.72767097452917,DUO_CARRY,,0.4809633367967938,DUO_CARRY2362017-07-09,
0,8.292959998733386,61,61MIDDLE,5.059673371806746,2017-07-09,,5.90235194464895,2.8055787202550917,7.13,0.12875559665868688,13.138921711036708,MIDDLE,,0.5074215688602846,MIDDLE612017-07-09,
0,12.380262957896337,53,53DUO_SUPPORT,5.160738714090288,2017-07-09,,2.257580939352485,2.83638539135557,7.13,0.10729276309307254,10.256710847784651,DUO_SUPPORT,,0.524405304757562,DUO_SUPPORT532017-07-09,
0,14.159969696086716,40,40DUO_SUPPORT,3.8275299396835574,2017-07-09,,0.8195557368610197,3.9136272397613627,7.13,0.10494130006244747,10.06701545173454,DUO_SUPPORT,,0.537020309449576,DUO_SUPPORT402017-07-09,
0,13.005910620368452,117,117DUO_SUPPORT,4.6703472366122964,2017-07-09,,1.6116949369961417,3.129875535329078,7.13,0.10329619328679558,9.798181866794538,DUO_SUPPORT,,0.4823717474319884,DUO_SUPPORT1172017-07-09,
0,6.307791285371653,18,18DUO_CARRY,4.982799262972608,2017-07-09,,7.134023696048256,2.697643286838104,7.13,0.09901932337933879,12.504522543126086,DUO_CARRY,,0.5137472078396657,DUO_CARRY182017-07-09,
0,4.98621796234114,92,92TOP,5.578144259786628,2017-07-09,,6.547573001232626,2.0676752745033795,7.13,0.09592175244302772,13.192302097335672,TOP,,0.5188613082840992,TOP922017-07-09,
0,6.48671147824786,121,121JUNGLE,5.040255618367762,2017-07-09,,7.379954475993032,2.751183075657476,7.13,0.09538051842947683,13.098379597447032,JUNGLE,,0.5138442138559689,JUNGLE1212017-07-09,
0,7.4309814933557385,103,103MIDDLE,5.041247484909457,2017-07-09,,6.470504344749817,2.757548777305313,7.13,0.09219732855316902,12.797023028425688,MIDDLE,,0.5216574170296504,MIDDLE1032017-07-09,
0,7.686593900552978,60,60JUNGLE,5.58751404697531,2017-07-09,,6.222515215238604,2.4893197580990427,7.13,0.09160920797723895,11.382717810388217,JUNGLE,,0.5050569111118529,JUNGLE602017-07-09,
0,9.86294217172566,79,79JUNGLE,4.554035429762345,2017-07-09,,4.257566080652571,3.1006584094834584,7.13,0.09096706592726331,12.024657226960954,JUNGLE,,0.5097538292603673,JUNGLE792017-07-09,
0,8.443282712282747,22,22DUO_CARRY,5.350930718864626,2017-07-09,,5.0916092466262155,2.5294463094414406,7.13,0.0891996463801875,6.907245684310807,DUO_CARRY,,0.49263537988641687,DUO_CARRY222017-07-09,
0,5.8362198618226255,67,67DUO_CARRY,5.809371621939183,2017-07-09,,7.204457865300559,2.244765626264097,7.13,0.08674829458623289,9.9550782716068,DUO_CARRY,,0.5016332189688396,DUO_CARRY672017-07-09,
0,7.170798768594459,29,29DUO_CARRY,5.519798839094776,2017-07-09,,7.827791225060513,2.717234890413992,7.13,0.08674625604004248,13.960528801629783,DUO_CARRY,,0.5319483937677719,DUO_CARRY292017-07-09,
0,7.043693004391694,498,498DUO_CARRY,5.2635887483049055,2017-07-09,,6.27233481381953,2.529838187396297,7.13,0.08192815211903479,11.012956607821078,DUO_CARRY,,0.49638587193172345,DUO_CARRY4982017-07-09,
0,5.841105531510474,58,58TOP,5.35943901467963,2017-07-09,,5.1574432015206195,2.052182831618348,7.13,0.07936366101151303,12.965360611244417,TOP,,0.49313537880636504,TOP582017-07-09,
0,13.795012966840945,497,497DUO_SUPPORT,4.927247007918788,2017-07-09,,1.5120584686646235,3.1066174297543685,7.13,0.07349672507554512,7.151131856841117,DUO_SUPPORT,,0.47647246453187625,DUO_SUPPORT4972017-07-09,
0,13.596612789880535,201,201DUO_SUPPORT,4.8480534082923405,2017-07-09,,1.3215319747013352,3.0771411756861355,7.13,0.07252128072343927,7.24254209315092,DUO_SUPPORT,,0.4980042164441321,DUO_SUPPORT2012017-07-09,
0,6.013860851269512,134,134MIDDLE,5.767948025361804,2017-07-09,,6.451821102612948,2.1611987311727776,7.13,0.07169770806251813,10.41023539560581,MIDDLE,,0.47340138182024966,MIDDLE1342017-07-09,
0,4.446963868364133,114,114TOP,5.845892548666657,2017-07-09,,6.158723706940352,1.8142118567888237,7.13,0.07021466570900296,14.637774788780975,TOP,,0.5045218981810792,TOP1142017-07-09,
0,14.256758192553466,267,267DUO_SUPPORT,4.483660428335079,2017-07-09,,1.5553025818496427,3.526596410931729,7.13,0.06715276933102389,8.590988021967133,DUO_SUPPORT,,0.4944826434740373,DUO_SUPPORT2672017-07-09,
0,7.171596035326259,222,222DUO_CARRY,5.56037550034945,2017-07-09,,6.676647182158968,2.490523026118454,7.13,0.06416935698137516,10.245104978906397,DUO_CARRY,,0.5000476523286105,DUO_CARRY2222017-07-09,
0,7.576854268222627,421,421JUNGLE,5.368309616426215,2017-07-09,,6.603853792243176,2.6415592753955517,7.13,0.06210125187121552,11.540328744274564,JUNGLE,,0.4844321893413429,JUNGLE4212017-07-09,
0,6.320160088417033,119,119DUO_CARRY,6.033960178843546,2017-07-09,,7.276537669340389,2.253362195764993,7.13,0.060867931426024216,14.110421698712782,DUO_CARRY,,0.5329805582999816,DUO_CARRY1192017-07-09,
0,7.875678218071257,19,19JUNGLE,5.754716030303539,2017-07-09,,6.800507298718315,2.550288396422483,7.13,0.06067834663031712,12.90274948788556,JUNGLE,,0.5278594345803027,JUNGLE192017-07-09,
0,4.346458961928332,24,24TOP,5.782282944028206,2017-07-09,,5.7341763569176525,1.7433659709193248,7.13,0.06013099697819503,10.347140772694146,TOP,,0.5059667084788284,TOP242017-07-09,
0,6.07694837793858,38,38MIDDLE,4.844735657653291,2017-07-09,,7.337430322334938,2.768856682424489,7.13,0.05887932961729013,12.811505761889663,MIDDLE,,0.506491707925077,MIDDLE382017-07-09,
0,5.432877045478234,238,238MIDDLE,5.759719278740923,2017-07-09,,7.9440120904700695,2.3224897757295726,7.13,0.058675474998250245,11.42549065204424,MIDDLE,,0.47467254976896084,MIDDLE2382017-07-09,
0,13.0833275273462,432,432DUO_SUPPORT,5.574479202954087,2017-07-09,,3.077440256392392,2.899063247948707,7.13,0.05851850694158953,8.844095334054217,DUO_SUPPORT,,0.5022469170208319,DUO_SUPPORT4322017-07-09,
0,5.07611585526895,122,122TOP,5.8007395017167,2017-07-09,,6.381653314552337,1.9752256012238467,7.13,0.057889615441851484,12.63862374400687,TOP,,0.5064178184699357,TOP1222017-07-09,
0,4.6798729209493555,11,11JUNGLE,6.519080545692394,2017-07-09,,8.319192674266493,1.9940029125434302,7.13,0.05454130332412137,11.75279302608831,JUNGLE,,0.493272285554102,JUNGLE112017-07-09,
0,11.252872464488501,59,59JUNGLE,5.477775441145544,2017-07-09,,5.7368994589634275,3.1015824043891307,7.13,0.05331511779059646,12.095891738782926,JUNGLE,,0.5199686466438527,JUNGLE592017-07-09,
