summoner_id,Unnamed: 0,summoner name,summoner_id,summonerid
0,83089576.0,Chasér ,,83089576.0
1,83089576.0,Chasér ,,83089576.0
2,34983603.0,Licorice,,34983603.0
3,83339123.0,Humble Diligent,,83339123.0
4,21498922.0,Linsaníty,,21498922.0
5,20947579.0,NotASmartPlayer,,20947579.0
6,35097344.0,NightBloom,,35097344.0
7,19887289.0,Imaqtpie,,19887289.0
8,83669264.0,TS Freeze,,83669264.0
9,7250.0,Apollo Price,,7250.0
10,22015124.0,God Fist Monk,,22015124.0
11,30366254.0,Acoldblazeolive,,30366254.0
12,61727429.0,Teamfighting,,61727429.0
13,36653735.0,learning experie,,36653735.0
14,68401488.0,bon dui,,68401488.0
15,35592112.0,stuntopolis,,35592112.0
16,82439805.0,IIllIlIlIlllIllI,,82439805.0
17,2648.0,Pobelter,,2648.0
18,68603405.0,Keegun,,68603405.0
19,77179274.0,C9 Ray,,77179274.0
20,60329217.0,swoloHey,,60329217.0
21,32653422.0,Win or Learn,,32653422.0
22,20918669.0,Daarr,,20918669.0
23,32705024.0,Falcon God,,32705024.0
24,77211704.0,Wıntér ,,77211704.0
25,21124626.0,Rikara,,21124626.0
26,73170218.0,Gastðn,,73170218.0
27,87119119.0,NV Nisqy,,87119119.0
28,19839806.0,blaberfish2,,19839806.0
29,579475.0,dawolfsfang,,579475.0
30,77211676.0,Révenge,,77211676.0
31,30046300.0,always plan ahea,,30046300.0
32,22447403.0,PrismaI,,22447403.0
33,44989337.0,C9 Gun,,44989337.0
34,34925733.0,Jue VioIe Grace,,34925733.0
35,51405.0,C9 Sneaky,,51405.0
36,40984753.0,GangstahSwerve,,40984753.0
37,446965.0,Ablazeolive,,446965.0
38,29533033.0,Lebron Jamés ,,29533033.0
39,85889107.0,StopEatingFood,,85889107.0
40,69769708.0,She Limp,,69769708.0
41,23353829.0,Jurassiq,,23353829.0
42,20142680.0,freelancer,,20142680.0
43,87129089.0,blackha1r man,,87129089.0
44,21490433.0,goldenglue,,21490433.0
45,37481045.0,insaníty,,37481045.0
46,19875787.0,Lord Jirall,,19875787.0
47,72749306.0,TWTFSSM,,72749306.0
48,65319227.0,TSelfie,,65319227.0
49,20130821.0,Wiggily,,20130821.0
50,83089575.0,Ssumdayday,,83089575.0
51,193759.0,BillyBoss1,,193759.0
52,39026110.0,Jackoo,,39026110.0
53,75871549.0,Ssita,,75871549.0
54,20227573.0,BukZacH,,20227573.0
55,28982480.0,MlST,,28982480.0
56,20156051.0,Jako5000,,20156051.0
57,40220617.0,Whatcha Say,,40220617.0
58,27519370.0,Bobjenkins,,27519370.0
59,22141445.0,SandPaperX,,22141445.0
60,54886348.0,t d,,54886348.0
61,68301925.0,nziety,,68301925.0
62,20793637.0,Phaxen,,20793637.0
63,54953447.0,Diamond 1 Khazix,,54953447.0
64,23775048.0,Maxtrobo,,23775048.0
65,83039568.0,hyungseokking,,83039568.0
66,27470522.0,Arcsecond,,27470522.0
67,59685.0,SWKM,,59685.0
68,42133105.0,Strompest,,42133105.0
