pro handle,summoner name, summoner id
chaser,Chasér,
pobelter,Pobelter
pobelter,Hero Kenzan
Ray,C9 Ray
Ray,C9 Sword
Arrow,NotMyMvp
Arrow,Arrowp1
Arrow,Arrowlol
Arrow,League Of Arrow
Akaadian,Akaadian4
Akaadian,im hydrated bro
Akaadian,kushkaadian
aphromoo,aphromoo
apollo,Apollo Price
apollo,Pretty Raheem
balls,C9 Balls
balls,never lucky help
Big,bat8man
biofrost,Biofrost
biofrost,TSM SlGHTSTONE
Bjergsen,Søren Bjerg
Bjergsen, qldurtms
Cody Sun,Deep Learning
Cody Sun,Cody Sun
Contractz,Contractz
Dardoch,10April
Dardoch,Mitsuha Itomori
Dardoch,dardoch iwnl
Dardoch,clg dd
Darshan,ZlONSPARTAN
Darshan, oceP
Doublelift,Doublelift
Doublelift,Peng Yiliang
Flame,flameflameflame
Froggen,Anivia Kid
Gate,chelly
Goldenglue,goldenglue
Goldenglue,goldengluee
Hai,FlyQ Hai
Hai,FIy Hai
Hakuho,Hakuho
Hauntzer,FindPurpose
Huhi,Huhi
Impact,19950307
Jensen,good player95
Jensen,C9 Jensen
Keane,enaek
Keane,Keańe
Keane,Keané
Keith,keith xd
LemonNation,Emon
LemonNation,FLY Lemon
LOD,Benji Hendrix
LOD,604 8 2 2
LOD,LOD
Looper,hyungseokking
Lourlo,Liquid Lourlo
Lourlo,Liquid Ezra
Lourlo,Lourlo
Lourlo,only exception
Matt,Liquid Matt
MikeYeung,MikeYeung
Moon,vegan player1906
Olleh,Humble Diligent
Piglet,Liquid Piglet
Pirean,Nv Pirean
Reignover,TWTFSSM
Reignover,Laners Dog
Ryu,ChiNa N0 1
Ryu,Captain of NA
Seraph,EnVy kina
Seraph,kina
Smoothie,C9 Smoothie
Smoothie,Smoothie
Sneaky,C9 Gun
Sneaky,C9 Sneaky
Ssumday,Ssumdayday
Stixxay,Stixxay
Stixxay,stix iwnl
Svenskeren,intrudr
Svenskeren,onlyW
WildTurtle,WildTurtle
WildTurtle,FZ3R0
Xmithie,Xmithie
Xpecial,Xpecial
Xpecial,Only Sometimes
zig,Winnable
